Level	Date and Time	Source	Event ID	Task Category
Information	10/12/2022 11:58:05 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:58:05Z] Session (ID: 0c8bdded-5681-4f08-8a1b-3d9827fc8cd3) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:58:05 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 0c8bdded-5681-4f08-8a1b-3d9827fc8cd3) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:57:56 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:57:56Z] Created session: 0c8bdded-5681-4f08-8a1b-3d9827fc8cd3; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 11:57:56 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 0c8bdded-5681-4f08-8a1b-3d9827fc8cd3; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 11:57:56 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 0c8bdded-5681-4f08-8a1b-3d9827fc8cd3; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 11:57:35 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:57:35Z] Session deleted - ID: 32998053-09c9-4398-a827-d9dfc34f69d1"
Information	10/12/2022 11:57:35 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session deleted - ID: 32998053-09c9-4398-a827-d9dfc34f69d1"
Information	10/12/2022 11:57:35 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session deleted - ID: 32998053-09c9-4398-a827-d9dfc34f69d1"
Information	10/12/2022 11:28:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:28:27Z] Created session: 32998053-09c9-4398-a827-d9dfc34f69d1; process: Login; Run Mode: Exclusive"
Information	10/12/2022 11:28:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 32998053-09c9-4398-a827-d9dfc34f69d1; process: Login; Run Mode: Exclusive"
Information	10/12/2022 11:28:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 32998053-09c9-4398-a827-d9dfc34f69d1; process: Login; Run Mode: Exclusive"
Information	10/12/2022 11:24:19 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:24:19Z] Session (ID: 50e2bf57-ec01-4396-9b78-bff7a5fe06c4) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:24:19 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 50e2bf57-ec01-4396-9b78-bff7a5fe06c4) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:15:19 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page cb1e671c-5fdb-480e-8734-4de0daff3c91"
Information	10/12/2022 11:15:19 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page 1a3c88b9-4a73-4813-b4b8-116a045e8a36"
Information	10/12/2022 11:15:03 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page 1a3c88b9-4a73-4813-b4b8-116a045e8a36 to collection"
Information	10/12/2022 11:14:51 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page cb1e671c-5fdb-480e-8734-4de0daff3c91 to collection"
Information	10/12/2022 11:14:21 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:14:21Z] Session (ID: 50e2bf57-ec01-4396-9b78-bff7a5fe06c4) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:14:21 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 50e2bf57-ec01-4396-9b78-bff7a5fe06c4) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:14:11 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:14:11Z] Created session: 50e2bf57-ec01-4396-9b78-bff7a5fe06c4; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 11:14:11 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 50e2bf57-ec01-4396-9b78-bff7a5fe06c4; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 11:14:11 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 50e2bf57-ec01-4396-9b78-bff7a5fe06c4; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Warning	10/12/2022 11:13:46 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:13:46Z] Session (ID: 248d261d-bf28-4c02-8642-b31828a36096) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Warning	10/12/2022 11:13:46 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 248d261d-bf28-4c02-8642-b31828a36096) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Information	10/12/2022 11:13:36 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:13:36Z] Session (ID: 248d261d-bf28-4c02-8642-b31828a36096) started. Process Name: Login"
Information	10/12/2022 11:13:36 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 248d261d-bf28-4c02-8642-b31828a36096) started. Process Name: Login"
Information	10/12/2022 11:13:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:13:27Z] Created session: 248d261d-bf28-4c02-8642-b31828a36096; process: Login; Run Mode: Exclusive"
Information	10/12/2022 11:13:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 248d261d-bf28-4c02-8642-b31828a36096; process: Login; Run Mode: Exclusive"
Information	10/12/2022 11:13:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 248d261d-bf28-4c02-8642-b31828a36096; process: Login; Run Mode: Exclusive"
Information	10/12/2022 11:09:08 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 11:09:08Z] Session (ID: 8805d0bb-acd6-437d-be16-4aaf63d7a272) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:09:08 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 8805d0bb-acd6-437d-be16-4aaf63d7a272) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 11:00:18 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page f606ac93-23f6-4588-bd21-ecb49367b6c8"
Information	10/12/2022 11:00:17 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page 647e5268-6962-4e47-ac0f-0b4b7127c65e"
Information	10/12/2022 11:00:10 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page 647e5268-6962-4e47-ac0f-0b4b7127c65e to collection"
Information	10/12/2022 10:59:47 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page f606ac93-23f6-4588-bd21-ecb49367b6c8 to collection"
Information	10/12/2022 10:59:16 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:59:16Z] Session (ID: 8805d0bb-acd6-437d-be16-4aaf63d7a272) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 10:59:16 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 8805d0bb-acd6-437d-be16-4aaf63d7a272) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 10:59:08 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:59:08Z] Created session: 8805d0bb-acd6-437d-be16-4aaf63d7a272; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 10:59:08 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 8805d0bb-acd6-437d-be16-4aaf63d7a272; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 10:59:08 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 8805d0bb-acd6-437d-be16-4aaf63d7a272; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Warning	10/12/2022 10:58:45 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:58:45Z] Session (ID: f1b1e8f4-bb5b-4c03-a628-2c26b89d76c5) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Warning	10/12/2022 10:58:45 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: f1b1e8f4-bb5b-4c03-a628-2c26b89d76c5) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Information	10/12/2022 10:58:36 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:58:36Z] Session (ID: f1b1e8f4-bb5b-4c03-a628-2c26b89d76c5) started. Process Name: Login"
Information	10/12/2022 10:58:36 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: f1b1e8f4-bb5b-4c03-a628-2c26b89d76c5) started. Process Name: Login"
Information	10/12/2022 10:58:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:58:27Z] Created session: f1b1e8f4-bb5b-4c03-a628-2c26b89d76c5; process: Login; Run Mode: Exclusive"
Information	10/12/2022 10:58:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: f1b1e8f4-bb5b-4c03-a628-2c26b89d76c5; process: Login; Run Mode: Exclusive"
Information	10/12/2022 10:58:27 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: f1b1e8f4-bb5b-4c03-a628-2c26b89d76c5; process: Login; Run Mode: Exclusive"
Information	10/12/2022 10:54:41 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:54:41Z] Session (ID: deffc10d-dae7-4906-9056-e49b11a194d4) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 10:54:41 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: deffc10d-dae7-4906-9056-e49b11a194d4) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 10:45:22 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page 39061727-b3f3-425e-9692-431c36c6cdf2"
Information	10/12/2022 10:45:21 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page 1ae822a2-ec82-489a-9308-0cd527a9ebd3"
Information	10/12/2022 10:45:07 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page 1ae822a2-ec82-489a-9308-0cd527a9ebd3 to collection"
Information	10/12/2022 10:44:57 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page 39061727-b3f3-425e-9692-431c36c6cdf2 to collection"
Information	10/12/2022 10:44:22 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:44:22Z] Session (ID: deffc10d-dae7-4906-9056-e49b11a194d4) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 10:44:22 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: deffc10d-dae7-4906-9056-e49b11a194d4) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 10:44:11 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:44:11Z] Created session: deffc10d-dae7-4906-9056-e49b11a194d4; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 10:44:11 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: deffc10d-dae7-4906-9056-e49b11a194d4; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
